Level,LevelName,Focus,QuestionID,Type,Gleams,Alicorns,Stakeholder,Question,Grade1,Grade2,Grade3,Grade4,Grade5
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Influencer/Media,Can you tell compelling stories?,I am generic storytelling; I am uninspiring,I am some stories; I am inconsistent quality,I am compelling stories; I am engaged audience,I am masterful storytelling; I am movements,I am legend for narratives; I am inspires
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Mentor,Do you bring unique resilience insights?,I have no particular insights,I am generic resilience advice,I am clear resilience lessons,I am deep resilience expertise; I am transform,I am resilience sage; I am countless journeys
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Professional (Talent),Do you bring unique skills?,I have no unique skills; I am generic,I am one skill; I am limited value,I am multiple relevant skills,I am exceptional skills; I am game-changer,I am unicorn skills; I am transforms trajectory
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Startup (Founder),Can you inspire with vision?,I cannot articulate; I have no inspiration,I am vague vision; I am limited power,I am clear vision; I am inspires some,I am compelling vision; I am inspires many,I am visionary; I am inspires movements; I am join
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Investor,Can you add value beyond capital?,I am capital only; I have no value-add,I am some advising; I am limited impact,I am clear value-add; I am helpful mentoring,I am exceptional value-add; I am opens doors,I am legendary value-add; I am transforms
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Corporate Partner,Can you celebrate experiments?,I am punishes experiments; I am risk-averse,I am tolerates but doesn't encourage,I celebrate learning; I am encourages,I celebrate fails; I am structures learning,I am legendary for enabling; I am culture
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Enabler (Accelerator),Can you create community?,I am isolated founders; I am competitive,I am some networking; I am limited,I am real community; I am help each other,I am strong community; I am lifelong bonds,I am legendary community; I am gold standard
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Facilitator (Services),Can you celebrate progress?,I am perfectionism required; I have no grace,I am progress focused; I am standards high,I celebrate progress; I am optional,I celebrate iteration; I am experiments,I am legend for progress; I am founder-beloved
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Government/Policy,Can you celebrate failures as learning?,I am punishes failure; I am discourages,I am neutral on failure,I recognize learning from failure,I celebrate failures; I am public support,I am failure expected; I am part of culture
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Influencer/Media,Do you celebrate founder diversity?,I am only certain founder types,I am mostly white/male featured,I am diverse founder coverage,I am strong diversity commitment; I am equity,I am diversity champion; I create space
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Mentor,Can you celebrate small wins?,I am only big wins; I am dismisses small,I am occasional celebration; I am mostly critical,I celebrate progress; I am normalizes setback,I celebrate small; I am setback-normalizer,I am champion of persistence; I am celebrates
L0,Conception (Spark),Resilience,D7,Dimension,10,0.1,Professional (Talent),Can you contribute beyond job?,I job only; I am checked out,I am meets requirements; I have no extra,I am contributes beyond; I am team player,I am significantly contributes beyond,I am all-in contributor; I am co-founder
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Startup (Founder),Is motivation sustainable multi-year?,I am short-term thinking; I am wanes quick,I am unclear longevity; I am burnout risks,I am sustainable 2-3 years; I am good,I am sustainable 5-10 years; I am multiple,I am lifelong commitment; I am crisis-resistant
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Investor,Are processes lean/responsive?,I am bureaucratic; I am slow decisions,I am some slowness; I am occasionally responsive,I am lean processes; I am responsive,I am exceptionally lean; I am startup-fast,I am lightning-fast; I am founder-praised
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Corporate Partner,Are timelines realistic for early?,I am long enterprise timelines; I am misaligned,I am slow; I am misaligned with pace,I am realistic timelines; I am startup-aware,I am fast decision-making; I am founder-friendly,I am legendary speed; I am aligned
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Enabler (Accelerator),Are graduation criteria flexible?,I am rigid graduation; I am one-size,I am mostly rigid; I am some flexibility,I am flexible criteria; I am stage-based,I am very flexible; I am customized paths,I am legendary flexibility; I am founder-driven
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Facilitator (Services),Are processes scalable?,I am siloed approach; I am doesn't scale,I am limited scaling; I am handmade,I am scalable systems; I am growth,I am highly scalable; I am exponential,I am legendary scalability; I am always available
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Government/Policy,Are programs sustainable politically?,I am program halts with regime,I am vulnerable to politics; I am disruption,I am some continuity; I am mostly stable,I am program continuity; I am political-proof,I am bipartisan support; I am permanent
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Influencer/Media,Are you sustainable as creator?,I am burnout visible; I am declining,I am struggling sustainability; I am drops,I am sustainable rhythm; I am consistent,I am thriving rhythm; I am prolific quality,I am legendary longevity; I am never burns
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Mentor,Are you available for crises?,I am unavailable in crises; I am disappears,I am limited crisis; I am spotty,I am available for crises; I am responsive,I am reliably available; I am crisis-focused,I am legendary crisis mentor; I am always
L0,Conception (Spark),Resilience,D8,Dimension,10,0.1,Professional (Talent),Are you prepared for failure?,I am risk-averse; I cannot handle,I am struggles with failure; I am resign,I can handle; I am bounces back,I am failure-resilient; I am learns continues,I am failure-lover; I am it's the game
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Startup (Founder),Ready for significant sacrifices?,I am unwilling or unaware of,I am aware but hesitant commitment,I am willing for moderate sacrifices,I am already making; I am deeply committed,I am major life changes; I am all-in sacrifice
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Investor,Can mentor through vulnerability?,I cannot discuss; I am distant always,I am acknowledges uncomfortable discussing,I can mentor; I am empathetic guidance,I am deep vulnerability mentoring; I am transform,I am legendary for walking darkness
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Corporate Partner,Can mentor founders on scaling?,I cannot advise; I am irrelevant,I am generic scaling advice given,I am practical scaling guidance,I am deep scaling mentorship; I am strategic,I am legendary scaling mentor; I am transform
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Enabler (Accelerator),Can support unpolished founders?,I filter out unpolished; I am high,I prefer polished; I am skeptical rough,I support unpolished; I am helps refine,I celebrate unpolished; I am excellent,I am legendary finding diamonds rough
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Facilitator (Services),Can stay updated on practices?,I am outdated practices; I am not current,I am somewhat current; I am gaps exist,I am updated knowledge; I am best practices,I am obsessively updated; I am cutting-edge,I am legendary ahead of curve; I am predicts
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Government/Policy,Think long-term ecosystem health?,I am short-term thinking; I am election-driven,I am mostly short-term; I am some long,I am long-term focused; I am ecosystem,I am deep long-term commitment; I am strategic,I am legendary ecosystem builder; I am vision
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Influencer/Media,Can be vulnerable about journey?,I am curated image; I am never vulnerable,I am carefully controlled; I am minimal,I am some vulnerability; I am mostly polished,I am genuinely vulnerable; I am relatable,I am raw vulnerability; I am authenticity
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Mentor,Can model resilience personally?,I model perfection; I am unrealistic,I am mostly polished; I am limited,I model resilience; I am shows ups/downs,I am deep resilience modeling; I am authentic,I am legend for modeling; I am inspires
L0,Conception (Spark),Resilience,D9,Dimension,10,0.1,Professional (Talent),Want to grow with company?,I am career-focused; I am company second,I am own growth primary; I am limited,I am company + personal growth,I am all-in company success; I am aligned,I am co-founder mentality; I am company first
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Startup (Founder),What assumptions about passion might be wrong?,I am defensive; I have no self-awareness,I am names 1 assumption; I am dismissive,I am names 2-3 assumptions; I am thoughtful,I am deep self-awareness; I am tests actively,I am ruthlessly self-aware; I am evolves
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Investor,Betting on passion without validation?,I am confuses passion with traction,I am bets on passion alone; I am no,I am validates ideas; I am assesses passion,I am rigorous validation; I am passion less,I am legendary for idea validation
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Corporate Partner,Problems really just politics?,I am problems are politics; I am unaware,I am some real; I am some politics,I am clear problem validity; I am external,I am transformative problems; I am beyond,I am legend for real vs fake
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Enabler (Accelerator),Filtering out unconventional?,I filter out unconventional; I am only,I prefer polished; I am skeptical rough,I am accepts unconventional; I am patterns,I am seeks unconventional; I am advantage,I am legend finding unconventional
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Facilitator (Services),Oversimplifying legal/financial?,I am oversimplifies; I am dangers exist,I am basic advice; I am gaps in,I am clear on legal/financial,I am deep legal/financial knowledge,I am legendary expert; I am saves
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Government/Policy,Policies creating moral hazard?,I am policies create perverse incentives,I am some incentive issues; I am ok,I am incentives aligned; I am avoiding,I am sophisticated design; I am prevents,I am policy genius; I am perfect alignment
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Influencer/Media,Chasing hype or substance?,I chase hype; I am quality suffers,I am mix of hype/substance; I am trending,I am balanced hype/substance coverage,I am substance-focused; I am hype-resistant,I am legend for substance; I am authentic
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Mentor,Validate both passion and ideas?,I dismiss need to validate,I assume passion = success,I am validates both passion ideas,I am rigorous validation framework,I am legendary for predicting
L0,Conception (Spark),Resilience,EiR1,EiR,10,0.1,Professional (Talent),Understand equity value risks?,I ignore equity value; I am trusts,I am hopeful; I am minimal due diligence,I understand equity risk; I am informed,I am sophisticated assessment; I am realistic,I am equity-savvy; I am maximizes outcome
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Startup (Founder),What risks are you not seeing?,I am blind to obvious risks,I see 1 risk; I miss others,I am identifies key risks clearly,I am deep risk awareness; I am mitigation,I see all risks; I am prepared
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Investor,Could competition disprove ideas?,I ignore competition threat,I am acknowledges; I am underestimates threat,I am clear competitive analysis,I am sophisticated competition mapping,I am legend for predicting disruption
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Corporate Partner,How do you handle founder frustration?,I have no understanding of frustration,I am aware; I am unsure how to help,I can address frustration; I am listen,I am excellent conflict management,I am legend for difficult conversations
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Enabler (Accelerator),Interpersonal conflict in cohorts?,I ignore conflicts; I am avoids,I am acknowledges; I am slow to address,I am addresses proactively; I am mediation,I am excellent cohort dynamics,I am legend for healthy communities
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Facilitator (Services),Managing difficult conversations?,I am avoids hard conversations,I am uncomfortable but does them,I am clear direct communication,I am expert in difficult conversations,I transform through courage
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Government/Policy,Prevent cronies from support?,I am system enables cronies easily,I am some favoritism exists,I am fair allocation attempted,I am strong fairness mechanisms,I am legendary for integrity
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Influencer/Media,Creating unfair expectations?,I am inflates expectations wildly,I am occasionally inflates,I am realistic expectations set,I am carefully manages expectations,I am legend for accuracy
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Mentor,Maintaining healthy boundaries?,I have no boundaries; I am codependent,I am weak boundaries; I am some,I am clear boundaries maintained,I am expert boundary management,I am legendary for healthy
L0,Conception (Spark),Resilience,EiR2,EiR,10,0.1,Professional (Talent),Handle ambiguity/lack process?,I am need clear structure always,I am uncomfortable with ambiguity,I can handle some ambiguity,I thrive in ambiguity,I embrace chaos; I am leads
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Startup (Founder),How would losing co-founder test you?,I am catastrophic failure certain,I am likely to fail with co-founder,I could recover; I have plan,I am strong solo capability,I thrive independently; I am driven
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Investor,How conflict affect relationships?,I am avoids conflict; I am weak leader,I am some conflict; I am navigates poorly,I am navigates conflict decently,I am expert conflict navigator,I am legend for tough negotiations
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Corporate Partner,How handle founder bureaucracy?,I have no empathy; I am bureaucratic,I am somewhat understanding,I am good at reducing friction,I am actively removes bureaucracy,I am founder-champion; I am removes all
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Enabler (Accelerator),Managing cohort conflicts?,I am conflicts tear apart cohort,I am some resolution attempted,I am fair conflict resolution,I am expert conflict facilitator,I am legendary cohort management
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Facilitator (Services),Difficult founder conversations?,I am avoids difficult conversations,I have them but poorly,I can have difficult talks,I am expert at hard conversations,I transform through candor
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Government/Policy,Prevent unfair support allocation?,I am cronies get preferential treatment,I am some unfairness exists,I am mostly fair allocation,I am rigorous fairness mechanisms,I am legendary integrity
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Influencer/Media,Creating unfair expectations?,I am unrealistic hype constant,I am occasional exaggeration,I am generally realistic coverage,I am carefully realistic messaging,I am legendary for accuracy
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Mentor,Maintain mentor relationship boundaries?,I have no boundaries; I am codependent,I am weak boundaries exist,I am clear boundaries maintained,I am expert boundary management,I am legendary healthy mentoring
L0,Conception (Spark),Resilience,EiR3,EiR,10,0.1,Professional (Talent),Manage ambiguity in role?,I am need clear job description,I am uncomfortable with ambiguity,I can handle changing roles,I am adapts easily to ambiguity,I thrive in chaos; I am leads
L0,Conception (Spark),Resilience,EiR4,EiR,10,0.1,Startup (Founder),What if well-funded competitor?,I would quit immediately,I would panic and fail,I could survive competition,I would adapt and compete,I love competition; I am thrives
L0,Conception (Spark),Resilience,EiR4,EiR,10,0.1,Investor,Could you stifle innovation?,I am controls stifle innovation,I am some control constraints,I am allows reasonable innovation,I enable full innovation freedom,I am legend for enabling innovation
L0,Conception (Spark),Resilience,EiR4,EiR,10,0.1,Corporate Partner,What if business disrupts yours?,I am defensive; I am protectionist,I am some openness; I am hesitant,I am open to disruption,I embrace transformative ideas,I am legend for embracing disruption
L0,Conception (Spark),Resilience,EiR4,EiR,10,0.1,Enabler (Accelerator),Criteria inadvertently biased?,I am criteria highly biased,I am some unconscious bias exists,I am relatively unbiased criteria,I am carefully unbiased selection,I am legend for fair inclusion
